ABW,297,عروبا,Aruba
AFG,93,افغانستان,Afghanistan
AGO,244,انجولا,Angola
AIA,1264,انجويلا,Anguilla
ALB,355,البانيا,Albania
AND,376,اندورا,Andorra
ARE,971,الامارات العربية,Arab Emirates
ARG,54,الارجنتين,Argentina
ARM,374,ارمينيا,Armenia
ASM,1684,ساموا الامريكية,American Samoa
ATA,672,انتاركتيكا,Antarctica
ATF,262,فرنسا الجنوب القطبية,FRENCH SOUTH
ATG,1268,باربودا,Barbuda
ATN,599,انتيل الهولندية,NETHERLANDS ANTILLES
AUS,61,استراليا,Australia
AUT,43,النمسا,Austria
AZE,994,اذربيجان,Azerbaijan
BDI,257,بورندي,Burundi
BEL,32,بلجيكا,Belgium
BEN,229,بنين,Benin
BFA,226,بوركينافاسو,Burkina Faso
BGD,880,بنجلاديش,Bangladesh
BGR,359,بلغاريا,Bulgaria
BHR,973,البحرين,Bahrain
BHS,1242,جزر البهاما,Bahamas
BIH,387,البوسنة والهرسك,Bosnia / Herzegovina
BLR,375,روسيا البيضاء,Byelorussia
BLZ,501,بيليز,Belize
BMU,1441,بيرمودا,Bermda
BOL,591,بوليفيا,Bolivia
BRA,55,البرازيل,Brazil
BRB,1246,بربادوس,Barbados
BRN,673,بروني,Brunei
BTN,975,بهوتان,Bhutan
BVT,27,بوفثاتسوانا,Bovthatswana
BWA,267,بوتسوانا,Botswana
CAF,236,افريقيا الوسطى,Central Africa
CAN,1,كندا,Canada
CCK,61,جزر كوكوس,COCOS ISLAND
CHE,41,سويسرا,Switzerland
CHL,56,شيلي,Chile
CHN,86,الصين الشعبية,China
CIV,225,ساحل العاج,Ivory Coast
CMR,237,الكاميرون,Cameroon
COD,243,زائير,Zaire
COG,242,الكونغو,Congo
COK,682,جزر كوك,Cook Islands
COL,57,كولمبيا,Columbia
COM,269,جزر القمر,Comoros
CPV,238,كاب فيرد,CAPE VERDE
CRI,506,كوستاريكا,Costa Rica
CUB,53,كوبا,Cuba
CXR,61,جزيرةكريسماس,Christmas Island
CYM,1345,جزر كايمون,Cayman Islands
CYP,357,قبرص,Cyprus
CZE,420,تشيك,CZECH REPUBLIC
DEU,49,المانيا,Germany
DJI,253,جيبوتى,Djibouti
DMA,1767,دومينيكا,Dominica
DNK,45,الدانمارك,Denmark
DOM,1809,جمهورية دمينكان,Republic Dominica
DOM,1829,جمهورية دمينكان,Republic Dominica
DOM,1849,جمهورية دمينكان,Republic Dominica
DZA,213,الجزائر,Algeria
ECU,593,اكوادور,Ecuador
EGY,20,مصر,Egypt
ERI,291,ارتيريا,Eritrea
ESP,34,اسبانيا,Spain
EST,372,استونيا,Estonia
ETH,251,اثيوبيا,Ethiopia
FIN,358,فنلندا,Finland
FJI,679,جزر فيجي,Fiji Islands
FLK,500,جزر فاكلاند,Falkland Islands
FRA,33,فرنسا,France
FRO,298,جزر فيرو,Faroe Islands
FSM,691,ميكرونيسيا,Micronesia
FXX,33,ميتروبوليتان فرنسية,FRANCE METROPOLITAN
GAB,241,جابون,Answer
GBR,44,المملكة المتحدة,United Kingdom
GEO,995,جورجيا,Georgia
GHA,233,غانا,Ghana
GIB,350,جبل طارق,Gibraltar
GIN,224,غينيا,Guinea
GLP,590,جيودي لوب,Gyude Lube
GMB,220,غامبيا,Gambia
GNB,245,غينيابيساو,Guinea Bissau
GNQ,240,غينيا الاستوائية,Equatorial Guinea
GRC,30,اليونان,Greece
GRD,1473,جرانادا,Granada
GRL,299,جرينلاند,Greenland
GTM,502,جواتيمالا,Guatemala
GUF,594,جيانا الفرنسية,French Guyana
GUM,1671,جوام,Guam
GUY,592,جوانا,Joanna
HKG,852,هونج كونج,HONG KONG
HND,504,هوندوراس,Honduras
HRV,385,كرواتيا,Croatia
HTI,509,هايتي,Haiti
HUN,36,هنغاريا,Hungary
IDN,62,اندونيسيا,Indonesia
IND,91,الهند,India
IOT,246,البريطانية في المحيط,BRITISH INDIAN OCEAN
IRL,353,ايرلندا,Ireland
IRN,98,ايران,Iran
IRQ,964,العراق,Iraq
ISL,354,ايسلندا,Iceland
ITA,39,ايطاليا,Italy
JAM,1876,جامايكا,Jamaica
JOR,962,الاردن,Jordan
JPN,81,اليابان,Japan
KAZ,7,كازاخستان,Kazakhstan
KEN,254,كينيا,Kenya
KGZ,996,قرغيزستان,kyrgyzstan
KHM,855,كمبوديا,Cambodia
KIR,686,كيريباتي,Kiribati
KNA,1869,سانت كيتس ونافيس,SAINT KITTS & NEVIS
KOR,82,كوريا الجنوبية,South Korea
KWT,965,الكويت,Kuwait
LAO,856,لاوس,Laos
LBN,961,لبنان,Lebanon
LBR,231,ليبيريا,Liberia
LBY,218,ليبيا,Libya
LCA,1758,سانت لوسيا,Saint Lucia
LIE,423,ليختنشتين,Liechtenstein
LKA,94,سري لنكا,Sri Lanka
LSO,266,ليسوتو,Lesotho
LTU,370,ليتوانيا,Lithuania
LUX,352,لوكسمبورغ,Luxembourg
LVA,371,لاتفيا,Latvia
MAC,853,ماكاو,Macao
MAR,212,المغرب,Morocco
MCO,377,موناكو,Monaco
MDA,373,مولدافيا,Moldova
MDG,261,مدغشقر,Madagascar
MDV,960,جزر ملاديف,Maldives
MEX,52,المكسيك,Mexico
MHL,692,جزر ماريشال,Marechal Islands
MKD,389,مقدونيا,Macedonia
MLI,223,مالي,Mali
MLT,356,مالطا,Malta
MMR,95,جمهورية ميانمار,Myanmar
MNE,382,الجبل الأ سود,MONTENEGRO
MNG,976,منغوليا,Mongolia
MNP,1670,جزر ماريانا,Mariana Islands
MOZ,258,موزمبيق,Mozambique
MRT,222,موريتانيا,Mauritania
MSR,1664,مونت سيرات,Monte Sirat
MTQ,596,مارتينيكو,Martinico
MUS,230,موريشيوس,Mauritius
MWI,265,ملاوي,Malawi
MYS,60,ماليزيا,Malaysia
MYT,262,جزيرة مايوت,Comorian island
NAM,264,ناميبيا,Namibia
NCL,687,كاليدونيا الجديد,New Caledonia
NER,227,النيجر,Niger
NFK,672,جزر نورفولك,Norfolk Island
NGA,234,نيجيريا,Nigeria
NIC,505,نيكاراجوا,Nicaragua
NIU,683,نيو,New
NLD,31,هولندا,Netherlands
NOR,47,النرويج,Norway
NPL,977,نيبال,Nepal
NRU,674,نورو,Nauru
NZL,64,نيوزيلندا,New Zealand
OMN,968,عمان,Oman
PAK,92,اكستان,Pakistan
PAN,507,بنما,Panama
PCN,64,جزر بيتكايرن,PITCAIRN ISLANDS
PER,51,بيرو,Peru
PHL,63,الفلبين,Philippines
PLW,680,بيلو,Belo
PNG,675,بابوا نيوغينا,Papua yoga
POL,48,بولندا,Poland
PRI,1787,بورتوريكو,Puerto Rico
PRI,1939,بورتوريكو,Puerto Rico
PRK,850,كوريا الشمالية,North Korea
PRT,351,البرتغال,Portugal
PRY,595,باراجواي,Paraguay
PSE,970,فلسطين,Palestinian
PYF,689,بولينيسياالفرنسية,French Polynesia
QAT,974,قطر,Country
REU,262,رينيون,Reunion
RKS,383,كوسوفوا,Kosovo
ROM,40,رومانيا,Romania
RUS,7,روسيا الاتحادية,Russia
RWA,250,رواندا,Rwanda
SAU,966,العربية السعودية,Saudi Arabia
SDN,249,السودان,Sudan
SEN,221,السنغال,Senegal
SGP,65,سنغافورة,Singapore
SGS,500,جنوب جورجيا,SOUTH GEORGIA
SHN,290,سانت هيلانة,Saint Helena
SLB,677,جزر سليمان,Solomon Islands
SLE,232,سيراليون,Sierra Leone
SLV,503,السلفادور,El Salvador
SMR,378,سان مورينو,San Moreno
SOM,252,الصومال,Somalia
SPM,508,س بييري وميكويلن,Saint Pierre Miquel
SRB,381,صربيا,SERBIA
SSD,211,جمهورية جنوب السودان,Republic of South
STP,239,ساوتومي/برنسبى,Sao Tome/FranceBank
SUR,597,سورينام,Suriname
SVK,421,سلوفاكيا,Slovakia
SVN,386,سلوفينيا,Slovenia
SWE,46,السويد,Sweden
SWZ,268,سوزيلاند,Swaziland
SYC,248,جزر سيشل,Seychelles Islands
SYR,963,سوريا,Syria
TCA,1649,ج الترك والقوقاز,Turk/Caucasus Island
TCD,235,تشاد,Chad
TGO,228,توجو,Togo
THA,66,تايلند,Thailand
TJK,992,طاجكستان,Tajikistan
TKL,690,توكيلاو,Tokelau
TKM,993,تركمانستان,Turkmenistan
TMP,670,تيمور الشرقية,East Timor
TON,676,تونجا,Tonga
TTO,1868,ترينداد وتوباجو,Trinidad and Tobago
TUN,216,تونس,Tunisia
TUR,90,تركيا,Turkey
TUV,688,توفالو,Tuvalu
TWN,886,الصين الوطنية,China National
TZA,255,تنزانيا,Tanzania
UGA,256,اوغندة,Uganda
UKR,380,اوكرانيا,Ukraine
UMI,1,جزر مينور,US MINOR ISLANDS
URY,598,اوراجواي,Orajoa
USA,1,الولايات المتحدة,United States
UZB,998,ازبكستان,Uzbekistan
VAT,379,مدينة الفاتيكان,Vatican City
VCT,1784,سان فينسنت,Saintt Vincent
VEN,58,فنزويلا,Venezuela
VGB,1284,ج فيرجن البريطانية,British Virgin
VIR,1340,ج فيرجن الامريكية,Virgin Islands of US
VNM,84,فيتنام,Vietnam
VUT,678,فانيوتو,Vanuoto
WLF,681,جزر والس وفوتونا,Islands Wallis
WSM,685,ساموا الغربية,Western Samoa
YEM,967,اليمن,Yemen
YUG,38,يوغسلافيا,Yugoslavia
ZAF,27,جنوب افريقيا,South Africa
ZMB,260,زامبيا,Zambia
ZWE,263,زمبابوي,Zimbabwe
